BBC6521,Project (JP)
ECS713P,Functional Programming
ECS713U,Functional Programming
ECS714P,Embedded Systems
ECS714U,Embedded Systems
ECS7200U,Summer Internship
ECS720P,Power Electronics
ECS725P,Mobile Services
ECS726P,Security and Authentication
ECS726U,Security and Authentication
ECS733P,Interactive System Design
ECS733U,Interactive System Design
ECS735P,The Semantic Web
ECS735U,The Semantic Web
ECS736P,Information Retrieval
ECS736U,Information Retrieval
ECS740P,Database Systems
ECS741P,Music Perception and Cognition
ECS741U,Music Perception and Cognition
ECS742P,Interactive Digital Multimedia Techniques
ECS745P,Business Information Systems
ECS749P,Sound Recording and Production Techniques
ECS7500P,MSc Advanced Research Project
ECS750P,Project
ECS751P,Project
ECS752P,Microwave and Millimetrewave Electronics
ECS753P,MSc by Research Project
ECS754P,MSc by Research Project
ECS757P,Digital Media and Social Networks
ECS759P,Artificial Intelligence
ECS762P,Computer Graphics
ECS763P,Natural Language Processing
ECS763U,Natural Language Processing
ECS764A,Applied Statistics
ECS764P,Applied Statistics
ECS765A,Big Data Processing
ECS765P,Big Data Processing
ECS766A,Data Mining
ECS766P,Data Mining
ECS770U,Project
ECS771U,Project
ECS773P,Bayesian Decision and Risk Analysis
ECS774P,MSc Industrial Placement Project
ECS775P,Security Engineering
ECS776P,Image Processing
ECS778P,Advanced Control Systems
ECS780P,Computer Programming
ECS781A,Cloud Computing
ECS781P,Cloud Computing
ECS782P,Introduction to IOT
ECS782U,Introduction to IOT
ECS783P,Enabling Communication Technologies for IoT
ECS783U,Enabling Communication Technologies for IoT
ECS784P,Data Analytics
ECS784U,Data Analytics
ECS784W,Data Analytics
ECS787P,Integrated Circuit Design
ECS788P,Control Systems
ECS789P,Semi-structured Data and Advanced Data Modelling
ECS790P,Electrical Machines and Systems
ECS793P,Introduction to Object-Oriented Programming
ECS794P,Cognitive Robotics
ECS794U,Cognitive Robotics (Robotics IV)
ECS795P,Deep Learning and Computer Vision
ECS796P,Distributed Systems
ECS797P,Machine Learning for Visual Data Analysis
ECS797U,Machine Learning for Visual Data Analysis
ECS7980P,Research Impact and Engagement
ECS798P,Demonstration Development
ECS7990P,Game Development
